,TUCASEID,TRTALONE,TRNUMHOU,TRSPPRES,TELFS,TRTSPONLY,TRTFAMILY,TEAGE,TESEX,YEAR
51219,20031110031751,90,2,1,1,1020,1020,52,1,2003
583626,20200201200186,271,3,3,1,0,0,52,1,2020
277879,20091211091027,0,3,1,1,0,840,28,2,2009
91075,20041009042318,750,2,1,1,450,450,44,2,2004
535327,20180201181147,495,2,1,5,120,235,71,2,2018
578194,20191110191019,99,2,2,1,0,120,21,1,2019
296485,20100604102380,180,2,1,1,225,225,47,1,2010
97735,20041211042530,795,2,1,5,95,95,67,2,2004
43802,20030909031143,0,4,1,1,140,867,41,1,2003
278143,20091211091295,82,5,1,1,107,344,41,2,2009
379610,20121009122325,0,4,1,5,0,945,47,2,2012
663625,20231008230891,960,2,3,5,0,0,76,1,2023
28788,20030605033659,113,4,3,1,0,0,48,1,2003
392829,20130302131515,140,5,3,5,0,110,45,1,2013
51640,20031110032096,87,2,1,1,370,370,63,1,2003
265702,20090807091153,365,6,1,2,30,535,44,2,2009
475753,20151211150901,406,2,3,1,0,43,19,1,2015
277256,20091210091979,612,2,1,5,308,308,65,2,2009
512989,20170402172246,120,3,1,1,240,240,37,1,2017
527267,20171009171862,170,2,2,1,0,0,34,2,2017
423553,20140302141661,750,3,3,1,0,60,50,1,2014
335926,20110706111154,135,6,1,5,0,645,34,1,2011
123092,20050807052187,200,3,1,1,122,220,39,1,2005
498129,20160908162413,265,6,1,1,0,515,43,2,2016
158650,20060806061530,107,4,1,1,99,156,32,1,2006
76769,20040605040059,91,3,1,1,0,395,26,1,2004
303070,20100807100902,287,2,3,1,0,105,37,2,2010
664044,20231009230302,195,4,3,1,0,332,37,2,2023
254897,20090403092177,272,2,1,1,0,400,39,1,2009
559561,20190201190582,550,1,3,5,0,0,75,2,2019
259089,20090604091788,345,4,3,4,0,375,30,1,2009
469667,20150908152168,419,4,1,1,0,76,38,1,2015
143149,20060302060130,26,6,3,4,0,444,50,2,2006
513408,20170403170853,107,1,3,1,0,165,57,1,2017
